
22843902;22,02,2022;08:50:00;sell;0,04;eurusd;1,13114;0;1,12979;22,02,2022;09:16:37;1,12979;-0,16;0;0;
22841960;22,02,2022;07:26:03;buy;0,01;eurusd;1,13066;0;1,13104;22,02,2022;10:14:28;1,13104;-0,04;0;0;
22842872;22,02,2022;08:04:03;buy;0,01;eurusd;1,13023;0;1,13104;22,02,2022;10:14:28;1,13104;-0,04;0;0;
22844986;22,02,2022;09:17:03;buy;0,02;eurusd;1,12967;0;1,13104;22,02,2022;10:14:28;1,13104;-0,08;0;0;
22848531;22,02,2022;10:15:11;buy;0,01;eurusd;1,13123;0;1,13253;22,02,2022;10:28:59;1,13253;-0,04;0;0;
22850047;22,02,2022;10:29:11;buy;0,01;eurusd;1,13238;0;1,13316;22,02,2022;11:10:57;1,13316;-0,04;0;0;
22850535;22,02,2022;10:31:03;buy;0,01;eurusd;1,13167;0;1,13316;22,02,2022;11:10:57;1,13316;-0,04;0;0;
22845002;22,02,2022;09:17:03;sell;0,01;eurusd;1,12965;0;1,1319;22,02,2022;11:55:29;1,1319;-0,04;0;0;
22846588;22,02,2022;09:47:02;sell;0,01;eurusd;1,13035;0;1,1319;22,02,2022;11:55:29;1,1319;-0,04;0;0;
22847975;22,02,2022;10:14:00;sell;0,02;eurusd;1,13078;0;1,1319;22,02,2022;11:55:29;1,1319;-0,08;0;0;
22848783;22,02,2022;10:16:00;sell;0,03;eurusd;1,13146;0;1,1319;22,02,2022;11:55:29;1,1319;-0,12;0;0;
22849636;22,02,2022;10:28:00;sell;0,04;eurusd;1,13193;0;1,1319;22,02,2022;11:55:29;1,1319;-0,16;0;0;
22850042;22,02,2022;10:29:10;sell;0,05;eurusd;1,13238;0;1,1319;22,02,2022;11:55:29;1,1319;-0,21;0;0;
22852851;22,02,2022;11:09:00;sell;0,08;eurusd;1,13281;0;1,1319;22,02,2022;11:55:29;1,1319;-0,33;0;0;
22853303;22,02,2022;11:12:01;sell;0,11;eurusd;1,13325;0;1,1319;22,02,2022;11:55:29;1,1319;-0,45;0;0;
22853005;22,02,2022;11:11:02;buy;0,01;eurusd;1,1332;0;1,13313;22,02,2022;12:13:19;1,13313;-0,04;0;0;
22855157;22,02,2022;11:41:01;buy;0,01;eurusd;1,13278;0;1,13313;22,02,2022;12:13:20;1,13313;-0,04;0;0;
22855642;22,02,2022;11:52:04;buy;0,02;eurusd;1,13234;0;1,13313;22,02,2022;12:13:20;1,13313;-0,08;0;0;
22855958;22,02,2022;11:56:02;buy;0,03;eurusd;1,13177;0;1,13313;22,02,2022;12:13:20;1,13313;-0,12;0;0;
22857524;22,02,2022;12:14:06;buy;0,01;eurusd;1,13309;0;1,13439;22,02,2022;12:40:22;1,13439;-0,04;0;0;
22860046;22,02,2022;12:43:03;buy;0,01;eurusd;1,13436;0;1,13566;22,02,2022;12:51:59;1,13566;-0,04;0;0;
