Ticket;Open;Time;Type;Size;Item;Price;S,L;T,P;Close;Time;Price;Commission;Taxes;Swap;
16856998;10,09,2021;10:39:00;sell;0,05;eurusd;1,18426;0;1,18345;10,09,2021;12:56:53;1,18345;-0,21;0;0;
16804834;08,09,2021;19:14:00;sell;0,05;eurusd;1,18256;0;1,18168;08,09,2021;23:02:40;1,18168;-0,21;0;0;
16784628;08,09,2021;11:35:06;buy;0,05;eurusd;1,18183;0;1,18269;08,09,2021;15:04:01;1,18269;-0,2;0;0;
16775749;08,09,2021;09:06:00;buy;0,05;eurusd;1,18334;0;1,18424;08,09,2021;10:24:05;1,18424;-0,2;0;0;
16751243;07,09,2021;16:12:01;buy;0,05;eurusd;1,18485;0;1,18585;07,09,2021;16:38:31;1,18585;-0,2;0;0;
17556658;01,10,2021;18:48:00;sell;0,04;eurusd;1,16029;0;1,15983;04,10,2021;04:41:14;1,15983;-0,16;0;-0,01;
17543246;01,10,2021;14:23:03;sell;0,04;eurusd;1,15936;0;1,15928;01,10,2021;17:04:09;1,15928;-0,16;0;0;
17533608;01,10,2021;10:02:02;sell;0,04;eurusd;1,15889;0;1,15756;01,10,2021;11:03:21;1,15756;-0,16;0;0;
17519196;30,09,2021;22:00:01;sell;0,04;eurusd;1,15845;0;1,15711;01,10,2021;03:11:47;1,15711;-0,16;0;-0,01;
17511016;30,09,2021;19:13:00;buy;0,04;eurusd;1,15697;0;1,15802;30,09,2021;21:50:29;1,15802;-0,16;0;0;
17439096;29,09,2021;10:07:01;buy;0,04;eurusd;1,16612;0;1,15958;30,09,2021;16:34:26;1,15958;-0,16;0;-0,17;
17425181;28,09,2021;19:24:00;sell;0,04;eurusd;1,16895;0;1,16762;28,09,2021;21:12:26;1,16762;-0,16;0;0;
17420563;28,09,2021;17:57:00;buy;0,04;eurusd;1,16764;0;1,1686;28,09,2021;18:36:56;1,1686;-0,16;0;0;
17417503;28,09,2021;17:24:01;sell;0,04;eurusd;1,16919;0;1,16832;28,09,2021;17:43:44;1,16832;-0,16;0;0;
17389250;28,09,2021;09:27:00;buy;0,04;eurusd;1,16823;0;1,16872;28,09,2021;10:59:58;1,16872;-0,16;0;0;
17380822;28,09,2021;03:39:00;buy;0,04;eurusd;1,16915;0;1,17004;28,09,2021;08:00:52;1,17004;-0,16;0;0;
17351474;27,09,2021;11:00:03;buy;0,04;eurusd;1,16933;0;1,17042;27,09,2021;13:42:48;1,17042;-0,16;0;0;
17196903;21,09,2021;17:10:01;buy;0,04;eurusd;1,1721;0;1,17308;21,09,2021;21:02:11;1,17308;-0,16;0;0;
17187001;21,09,2021;14:44:00;sell;0,04;eurusd;1,17444;0;1,17349;21,09,2021;15:42:28;1,17349;-0,16;0;0;
17179460;21,09,2021;10:50:00;buy;0,04;eurusd;1,17189;0;1,17336;21,09,2021;11:40:51;1,17336;-0,16;0;0;
17156159;20,09,2021;17:09:00;sell;0,04;eurusd;1,17225;0;1,17244;21,09,2021;10:37:41;1,17244;-0,16;0;-0,01;
17101766;17,09,2021;16:16:00;buy;0,04;eurusd;1,17641;0;1,17174;20,09,2021;16:17:59;1,17174;-0,16;0;-0,17;
17041934;16,09,2021;09:32:01;buy;0,04;eurusd;1,18019;0;1,17678;16,09,2021;17:51:50;1,17678;-0,16;0;0;
17018141;15,09,2021;15:54:00;buy;0,04;eurusd;1,18095;0;1,18228;15,09,2021;17:58:11;1,18228;-0,16;0;0;
17006950;15,09,2021;10:54:00;sell;0,04;eurusd;1,18181;0;1,18143;15,09,2021;15:49:30;1,18143;-0,16;0;0;
16979908;14,09,2021;16:40:01;buy;0,04;eurusd;1,18256;0;1,18166;15,09,2021;10:35:01;1,18166;-0,16;0;-0,17;
16975876;14,09,2021;15:56:01;sell;0,04;eurusd;1,18446;0;1,18293;14,09,2021;16:34:37;1,18293;-0,16;0;0;
16919451;13,09,2021;16:26:00;sell;0,04;eurusd;1,17949;0;1,18121;14,09,2021;12:42:11;1,18121;-0,16;0;-0,01;
16864556;10,09,2021;13:35:00;buy;0,04;eurusd;1,18305;0;1,17879;13,09,2021;16:19:09;1,17879;-0,16;0;-0,17;
16856058;10,09,2021;10:26:00;sell;0,04;eurusd;1,18378;0;1,18345;10,09,2021;12:56:53;1,18345;-0,16;0;0;
16804569;08,09,2021;19:10:00;sell;0,04;eurusd;1,18214;0;1,18168;08,09,2021;23:02:40;1,18168;-0,16;0;0;
16798772;08,09,2021;17:32:00;buy;0,04;eurusd;1,1805;0;1,18188;08,09,2021;18:49:46;1,18188;-0,16;0;0;
16783607;08,09,2021;11:21:01;buy;0,04;eurusd;1,18226;0;1,18269;08,09,2021;15:04:01;1,18269;-0,16;0;0;
16774317;08,09,2021;08:34:01;buy;0,04;eurusd;1,18379;0;1,18424;08,09,2021;10:24:05;1,18424;-0,16;0;0;
16749517;07,09,2021;15:51:01;buy;0,04;eurusd;1,18534;0;1,18585;07,09,2021;16:38:31;1,18585;-0,16;0;0;
16726940;07,09,2021;04:22:28;sell;0,04;eurusd;1,18821;0;1,18695;07,09,2021;09:27:14;1,18695;-0,16;0;0;
17405816;28,09,2021;14:43:02;sell;0,03;eurusd;1,16897;0;1,16767;28,09,2021;15:20:00;1,16767;-0,12;0;0;
17594021;04,10,2021;16:16:01;buy;0,03;eurusd;1,16245;0;1,16372;04,10,2021;17:09:58;1,16372;-0,12;0;0;
17570646;04,10,2021;06:41:00;buy;0,03;eurusd;1,1589;0;1,16017;04,10,2021;09:31:59;1,16017;-0,12;0;0;
17552603;01,10,2021;17:13:00;sell;0,03;eurusd;1,15988;0;1,15983;04,10,2021;04:41:14;1,15983;-0,12;0;-0,01;
17542547;01,10,2021;14:10:01;sell;0,03;eurusd;1,15892;0;1,15928;01,10,2021;17:04:09;1,15928;-0,12;0;0;
17536149;01,10,2021;11:12:00;buy;0,03;eurusd;1,15754;0;1,15887;01,10,2021;14:06:40;1,15887;-0,12;0;0;
17532701;01,10,2021;09:50:03;sell;0,03;eurusd;1,15843;0;1,15756;01,10,2021;11:03:21;1,15756;-0,12;0;0;
17524392;01,10,2021;03:52:00;buy;0,03;eurusd;1,15674;0;1,15801;01,10,2021;07:58:17;1,15801;-0,12;0;0;
17518664;30,09,2021;21:51:00;sell;0,03;eurusd;1,158;0;1,15711;01,10,2021;03:11:47;1,15711;-0,12;0;-0,01;
17515001;30,09,2021;20:19:01;sell;0,03;eurusd;1,15781;0;1,15653;30,09,2021;20:50:17;1,15653;-0,12;0;0;
